Organisation Name,Annual Revenue,Assigned To,Created Time,Start Financial Year,Commitment Number of Jobs,Registration Status,BBBEE ALign,Demand Shaping Package,Demand Shaping Start Date,Uncontactable Company,CRM Status,M & E Payment Made,Youth Uploaded,Phones Delivered,Extra Youth
Its a Matter of Taste (Pty) Ltd t/a By Word of Mouth,89595601,Danielle Geddes,01-10-2018 09:44:11,March,14,Registered,yes,In-House 5000,18-02-2019,no,On Track,yes,NA,Yes,0
Concord Cranes,0,YES Administrator,01-10-2018 15:47:20,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Innovent Rental and Asset Management Solutions (Pty) Ltd,152161156,YES Administrator,01-10-2018 16:14:09,July,9,Calculating for BBBEE,yes,NA,NA,yes,Archived,no,NA,NA,0
MAWELE INVESTMENT CC Trading as Twinz Regulatory Affairs Pharmacist Consultants,0,YES Administrator,02-10-2018 07:52:28,NA,1,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Pandom Global,0,YES Administrator,02-10-2018 08:58:04,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Mondi Limited,0,Marc Ashton,02-10-2018 09:16:10,January,5,Registered,no,NA,NA,no,On Hold - Awaiting Strategy Sesison,no,NA,NA,0
Advance on Point Solutions,22024000,Danielle Geddes,02-10-2018 10:46:17,March,8,Registered,yes,Small Biz 1700,29-01-2019,no,On Track,yes,Yes,Yes,6
Crownmill Trading (Pty) Ltd,71989357,Zintle Raziya,02-10-2018 10:50:00,October,12,Registered,yes,In-House Assist - 7000,01-12-2018,no,On Track,yes,NA,Yes,0
Rhomberg Instruments,0,YES Administrator,02-10-2018 15:12:32,March,0,Calculating for BBBEE,yes,NA,NA,no,Archived,no,NA,NA,0
Optico Pty Ltd,0,YES Administrator,02-10-2018 18:06:10,NA,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
Swissport S.A.,716498980,YES Administrator,02-10-2018 23:39:19,January,42,Registered,yes,In-House - 5000,NA,no,On Track,yes,NA,Yes,0
BL Williams (Pty) Ltd,0,YES Administrator,03-10-2018 08:10:42,March,0,Awaiting Pledge and Payment,yes,NA,NA,yes,Archived,no,NA,NA,0
Giesecke and Devrient Currency Technology South Africa (Pty) Ltd - deleted,0,YES Administrator,03-10-2018 16:40:35,NA,0,NA,no,NA,NA,no,Archived,no,NA,NA,0
Terra Firma Solutions (Pty) Ltd,175759864,Danielle Geddes,04-10-2018 06:37:50,October,9,Registered,yes,In-House - 5000,25-11-2019,no,On Track,yes,NA,Yes,0
Huawei Technologies Africa (Pty) Ltd,7889601423,Zintle Raziya,04-10-2018 12:37:10,January,17,Registered,yes,In-House 5000,11-02-2019,no,On - Track August 2019,yes,NA,Yes,4
Seiso agricultural consultancy,0,YES Administrator,05-10-2018 14:02:03,February,0,NA,no,NA,NA,yes,Archived,no,NA,NA,0
ArcelorMittal Transaformation Centre NPC,45000000000,Lara Grieve,07-10-2018 07:38:34,January,129,Registered,yes,In-House 5000,01-02-2019,no,On Track,yes,Yes,Yes,6
