user_id,survey,submitted,measure_0,question_m_conflict_1,question_m_conflict_2,question_m_conflict_3,question_m_conflict_4,question_m_conflict_5,question_m_conflict_6,question_m_conflict_7,question_m_conflict_8,question_m_conflict_9,question_m_conflict_10,measure_1,question_m_dealstress_1,question_m_dealstress_2,question_m_dealstress_3,question_m_dealstress_4,question_m_dealstress_5,measure_2,question_m_well_1,question_m_well_2,measure_3,question_m_percstress_1,question_m_percstress_2,question_m_percstress_3,question_m_percstress_4,question_m_percstress_5,question_m_percstress_6,question_m_percstress_7,question_m_percstress_8,question_m_percstress_9,question_m_percstress_10,measure_4,question_m_belong_1,question_m_belong_2,question_m_belong_3,question_m_belong_4,question_m_belong_5,measure_5,question_m_workplace_1,question_m_workplace_2,question_m_workplace_3,question_m_workplace_4,measure_6,question_m_problem_1,question_m_problem_2,measure_7,question_m_problem_3,measure_8,question_m_team_1,question_m_team_2,question_m_team_3,measure_9,question_m_motiv_1,question_m_motiv_2,question_m_motiv_3,measure_10,question_m_behave_1,question_m_behave_2,question_m_behave_3,question_m_behave_4,measure_11,question_m_eff_1,question_m_eff_2,question_m_eff_3,question_m_eff_4,question_m_eff_5,question_m_eff_6,question_m_eff_7,question_m_eff_8,measure_12,question_m_satis_1,question_m_satis_2,question_m_satis_3,question_m_satis_4,question_m_satis_5,question_m_satis_6,question_m_satis_7,question_m_satis_8,question_m_satis_9,question_m_satis_10,question_m_satis_11,question_m_satis_12,question_m_satis_13,question_m_satis_14,question_m_satis_15,question_m_satis_16,question_m_satis_17,question_m_satis_18,question_m_satis_19,question_m_satis_20,question_m_motiv_4,question_m_tmgmt_,question_m_satisb_1,question_m_satisb_2,question_m_satisb_3,question_m_satisb_4,question_m_satisb_5,question_m_satisb_6,question_m_satisb_7,question_m_satisb_8,question_m_satisb_9,measure_13,question_m_recom_1
2147483647,Monthly,2019-05-28,1,Often,Always,Sometimes,Often,Sometimes,Rarely,Rarely,Often,Sometimes,Rarely,2,Often,Always,Rarely,Rarely,Always,3,Strongly agree,Strongly agree,4,Rarely,Rarely,Never,Never,Never,Rarely,Never,Rarely,Never,Never,5,Strongly agree,Agree,Strongly disagree,Agree,Agree,6,Several times a day,Several times a day,Not at all this month,Several times a day,7,Several times a day,Several times a day,8,Once a day,9,Always,Always,Often,10,Always,Often,Always,11,Often,Always,Often,Always,12,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,13,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3165050082,Monthly,2019-05-29,1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,2,Often,Often,Often,Often,Often,3,Agree,Agree,4,Often,Often,NA,Often,Often,Often,NA,Rarely,Often,Often,5,NA,Agree,Agree,NA,Agree,6,NA,A few times in a week,A few times in a week,A few times in a week,7,A few times this month,NA,8,A few times this month,9,Often,Often,Often,10,Often,Often,Often,11,Often,Sometimes,Sometimes,Sometimes,12,Neither agree nor disagree,NA,Neither agree nor disagree,NA,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,13,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9305240392088,Monthly,2019-06-13,1,Often,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Often,2,Often,Sometimes,Sometimes,Often,Sometimes,3,Disagree,Disagree,4,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,5,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,6,Once a week,Once a week,A few times in a week,A few times in a week,7,Once a day,A few times in a week,8,A few times in a week,9,Always,Often,Always,10,Rarely,Sometimes,Sometimes,11,Sometimes,Sometimes,Sometimes,Sometimes,12,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,13,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Strongly disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9008075511083,Monthly,2019-05-29,1,Sometimes,Often,Often,Often,Often,Rarely,Often,Always,Often,Rarely,2,Sometimes,Always,Never,Never,Always,3,Strongly agree,Agree,4,Rarely,Often,Rarely,Rarely,Never,Rarely,Never,Never,Never,Never,5,Agree,Strongly agree,Strongly disagree,Agree,Agree,6,A few times in a week,Several times a day,Not at all this month,Several times a day,7,Several times a day,Several times a day,8,Several times a day,9,Often,Always,Always,10,Always,Often,Always,11,Always,Often,Rarely,Often,12,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Agree,13,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9511265183084,Monthly,2019-05-30,1,Always,Often,Rarely,Often,Often,Sometimes,Sometimes,Often,Often,Often,2,Often,Often,Never,Never,Often,3,Agree,Agree,4,Often,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,5,Agree,Neither agree nor disagree,Disagree,Agree,Agree,6,A few times in a week,A few times in a week,Once a month,Several times a day,7,Several times a day,Several times a day,8,Once a day,9,Always,Always,Always,10,Often,Often,Always,11,Rarely,Often,Sometimes,Often,12,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,13,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9002061216088,Monthly,2019-05-30,1,Often,Always,Often,Often,Rarely,Never,Sometimes,Always,Always,Rarely,2,Sometimes,Often,Never,Never,Sometimes,3,Agree,Strongly agree,4,Sometimes,Always,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,5,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,6,Several times a day,Several times a day,A few times in a week,Several times a day,7,Several times a day,Several times a day,8,Several times a day,9,Always,Always,Always,10,Always,Sometimes,Always,11,Sometimes,Always,Always,Always,12,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,13,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9202240317084,Monthly,2019-06-16,1,Often,Often,Always,Often,Often,Sometimes,Often,Sometimes,Often,Often,2,Often,Sometimes,Never,Never,Often,3,Strongly agree,Strongly agree,4,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,5,Agree,Agree,Strongly disagree,Strongly agree,Strongly agree,6,Several times a day,Several times a day,Not at all this month,Several times a day,7,Several times a day,Several times a day,8,Several times a day,9,Always,Always,Always,10,Always,Often,Always,11,Sometimes,Rarely,Sometimes,Always,12,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,13,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9109101106086,Monthly,2019-06-01,1,Often,Often,Rarely,Always,Often,Sometimes,Often,Always,Always,Rarely,2,Always,Often,Never,Never,Always,3,Agree,Agree,4,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Sometimes,5,Agree,Agree,Disagree,Agree,Agree,6,Several times a day,Once a day,Not at all this month,Several times a day,7,Once a day,Once a week,8,Once a week,9,Always,Always,Always,10,Always,Always,Always,11,Sometimes,Often,Always,Often,12,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,13,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9204040546086,Monthly,2019-06-03,1,Sometimes,Often,Sometimes,Often,Often,Sometimes,Always,Sometimes,Always,Often,2,Often,Often,Rarely,Sometimes,Often,3,Agree,Neither agree nor disagree,4,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,5,Agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,6,Several times a day,Several times a day,Not at all this month,Several times a day,7,Several times a day,Several times a day,8,Several times a day,9,Always,Always,Always,10,Often,Always,Always,11,Always,Always,Sometimes,Always,12,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,13,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9108140329089,Monthly,2019-06-04,1,Always,Always,Sometimes,Often,Often,Sometimes,Always,Always,Always,Always,2,Always,Always,Never,Always,Always,3,Strongly agree,Agree,4,Rarely,Rarely,Sometimes,Often,Often,Often,Often,Often,Often,Often,5,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,6,Several times a day,Several times a day,Not at all this month,A few times in a week,7,Several times a day,Several times a day,8,Several times a day,9,Often,Often,Often,10,Always,Often,Always,11,Always,Always,Always,Always,12,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,13,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
